,LA
01/2019,345162500.45036995
02/2019,332641289.72089
04/2019,310970306.77813005
05/2019,314852108.06878006
06/2019,301421010.17175
07/2019,309405543.08029
08/2019,295988070.36265
10/2019,321966640.6604599
11/2019,319227315.12586
12/2019,371291380.46771
01/2020,378830191.60464007
02/2020,388686339.66507995
03/2020,361223598.36126006
04/2020,388051438.55916995
05/2020,412334445.9643801
06/2020,404083478.22867
07/2020,409749300.35687
09/2020,419089336.64125997
10/2020,426912332.01004994
11/2020,426309038.4953601
01/2021,494353574.97167003
02/2021,484191879.14702
03/2021,494730415.17332995
04/2021,497987272.37899
05/2021,485331112.26874006
07/2021,471691146.66254
08/2021,434790390.6577
09/2021,459824227.23344004
10/2021,457070931.3399401
11/2021,452053326.16611
01/2022,486565840.58176005
02/2022,437097586.05939
05/2022,532683394.992
06/2022,546219696.7909299
07/2022,579750765.5193
08/2022,577792401.9211199
09/2022,603497000.89259
10/2022,642662307.6872399
11/2022,662051753.1742299
12/2022,732870397.7060001
01/2023,674670437.28381
02/2023,675297536.1988201
03/2023,665459810.6899999
04/2023,722261829.6561301
05/2023,712209069.35241
06/2023,759134921.50475
07/2023,787415260.7486701
08/2023,795638216.8543301
10/2023,807698794.9332598
01/2024,927318259.34086
02/2024,910128927.0605401
