,LAS
12/2018,
01/2019,0.07137153031197863
02/2019,-0.027837931406029415
03/2019,-0.04474700426908351
04/2019,-0.12309948366532308
05/2019,0.05618914567137523
06/2019,-0.06395955544230081
07/2019,0.05256645835251894
08/2019,-0.14665970743265722
09/2019,0.2735789039465857
10/2019,0.0009812163447446842
11/2019,0.01755031431317855
12/2019,0.2557536285203301
01/2020,0.0631223678433428
02/2020,0.02271219485349718
03/2020,-0.25748639531005924
04/2020,0.11587131274716733
05/2020,0.11225975601739147
06/2020,0.02391682091948022
07/2020,-0.012800548365469733
08/2020,-0.061581486247447303
09/2020,0.04945150333322945
10/2020,0.021527690991778092
11/2020,-0.019189526239653754
12/2020,0.30800611794314303
01/2021,-0.05110312327327049
02/2021,-0.02266144192587849
03/2021,0.026760278754992317
04/2021,-0.030004212955993093
05/2021,-0.019521540836309303
06/2021,-0.017619371409435258
07/2021,-0.008169486049066199
08/2021,-0.09949514203214072
09/2021,0.05022492816874147
10/2021,0.003785455053147757
11/2021,-0.018789518453877108
12/2021,0.2523547989480117
01/2022,-0.12364982827043769
02/2022,-0.21687899302335534
03/2022,0.31127708936626197
04/2022,0.018439555434365484
05/2022,-0.006149843800632548
06/2022,-0.004271886801292091
07/2022,-0.011675562164276565
08/2022,-0.012305178726323307
09/2022,0.058831499572430834
10/2022,0.05354251079782668
11/2022,0.031237234129860125
12/2022,0.09522090954011997
01/2023,-0.08347419466833794
02/2023,-0.017257260770145333
03/2023,-0.004644819030398928
04/2023,0.0996073341005903
05/2023,0.003824838742428671
06/2023,0.0701721401970512
07/2023,-0.011938592575432838
08/2023,0.04079564437233718
09/2023,-0.023448648199959288
10/2023,-0.03646804863724806
11/2023,0.03910310838806175
12/2023,0.0402300434779721
01/2024,-0.005095036228085825
02/2024,0.0037718099132189042
