,RA
12/2018,-0.0427797364492728
01/2019,-0.014859073246196619
02/2019,0.012930786258692706
03/2019,0.05378241612713652
04/2019,-0.012229972671717881
05/2019,-0.024038609811837253
06/2019,-0.022905005299384884
07/2019,0.019512209065033925
08/2019,0.021673953484249164
09/2019,0.009807788093231018
10/2019,-0.025084516465933904
11/2019,0.010913129055309945
12/2019,-0.015270246460306058
01/2020,0.007220847235681838
02/2020,0.023181575633387075
03/2020,-0.03660383370974829
04/2020,0.013667024282164597
05/2020,0.004196973187731601
06/2020,0.0006309042330852055
07/2020,-0.016529756770634396
08/2020,0.023844501012336483
09/2020,-0.017243362458751132
10/2020,0.007389265547245394
11/2020,0.023812668661595815
12/2020,-0.028371943412479395
01/2021,-0.011030561464715927
02/2021,0.0022859597745903404
03/2021,0.016009539740777123
04/2021,0.004886268778321323
05/2021,-0.0008066493048952683
06/2021,-0.005782358478400695
07/2021,-0.008669557019452157
08/2021,0.004667157733399208
09/2021,-0.011342308938503631
10/2021,0.0006110273620953954
11/2021,0.007336001559816729
12/2021,-0.005788517466124521
01/2022,0.029257882996225115
02/2022,0.04914429927374586
03/2022,-0.03751602553615907
04/2022,-0.06784617545714622
05/2022,-0.009486656176453279
06/2022,0.036890909161438
07/2022,-0.0016605373361804343
08/2022,0.022377509707211862
09/2022,0.006020240145506284
10/2022,0.010515307616913327
11/2022,0.0065742112847384515
12/2022,-0.05754482069929856
01/2023,0.0008267095388214685
02/2023,0.01489517717045552
03/2023,0.025157743005972177
04/2023,-0.018843093549823386
05/2023,-0.005569912266399024
06/2023,-0.011084501835305627
07/2023,0.012631807861573252
08/2023,0.005048810616454125
09/2023,0.006069269688941503
10/2023,0.030012992824724805
11/2023,0.053781877131603206
12/2023,-0.14194073194438106
01/2024,-0.011506205413716053
02/2024,0.04119577512020989
