date,AE_sel
2019-01-01,0.002657748491931358
2019-02-01,0.0042716872977814355
2019-03-01,0.002260614370153087
2019-04-01,0.003504684859733634
2019-05-01,0.0034014190048249518
2019-06-01,0.003380519513482082
2019-07-01,0.0032971619070898688
2019-08-01,0.003413806806667557
2019-09-01,0.00353299499042112
2019-10-01,0.0036796522401143206
2019-11-01,0.0037324575435258157
2019-12-01,0.005779162069625245
2020-01-01,0.003178472972767271
2020-02-01,0.003522991114058737
2020-03-01,0.0038416581946085007
2020-04-01,0.0035026190486231266
2020-05-01,0.003361475068528971
2020-06-01,0.0036816297454147547
2020-07-01,0.0035666195839617137
2020-08-01,0.0034645261607580847
2020-09-01,0.0037069248473027023
2020-10-01,0.0038909399051613677
2020-11-01,0.0038559762539840843
2020-12-01,0.006087098669503573
2021-01-01,0.003159468933859033
2021-02-01,0.0035183138636403414
2021-03-01,0.0038113632734449194
2021-04-01,0.0038020962620237083
2021-05-01,0.0037383618018297974
2021-06-01,0.004083898912717131
2021-07-01,0.00373056722942539
2021-08-01,0.0035673188680150412
2021-09-01,0.0039816214734542275
2021-10-01,0.004014686954314311
2021-11-01,0.004154757803409432
2021-12-01,0.0073177039001047295
2022-01-01,0.0034616565245118294
2022-02-01,0.00398068098835787
2022-03-01,0.005281570091424552
2022-04-01,0.0036586482483219928
2022-05-01,0.003280528673349521
2022-06-01,0.0038993215387732373
2022-07-01,0.0033408520154664546
2022-08-01,0.0032100439355027765
2022-09-01,0.003929650133183003
2022-10-01,0.0038147924881842972
2022-11-01,0.0036268375163273094
2022-12-01,0.00553084303735162
2023-01-01,0.0030323109208918206
2023-02-01,0.003414241131551849
2023-03-01,0.0038717698334788733
2023-04-01,0.00370506750232443
2023-05-01,0.0035051952104400695
2023-06-01,0.0037391736896540775
2023-07-01,0.003387333615229195
2023-08-01,0.003353221491439452
2023-09-01,0.0029950691417508107
2023-10-01,0.0035069988594661175
2023-11-01,0.0035167585450084577
2023-12-01,0.004953899924953219
2024-01-01,0.002977111880486639
2024-02-01,0.003229428945347777
