date,ROA
2019-02-01,0.007580695998851011
2019-03-01,0.006402804092379104
2019-04-01,0.006669985426273732
2019-05-01,0.00833655222854079
2019-06-01,0.009161833312041586
2019-07-01,0.006627024078648896
2019-08-01,0.009658892727977118
2019-09-01,0.0061341223366552355
2019-10-01,0.006283327145149719
2019-11-01,0.00756300145291561
2019-12-01,0.007510425894064704
2020-01-01,0.008505695381537712
2020-02-01,0.00958663081083867
2020-03-01,0.007671968483496801
2020-04-01,0.010308645959930536
2020-05-01,0.0065532308249795215
2020-06-01,0.006547734382493901
2020-07-01,0.007728560702282044
2020-08-01,0.0067601791865655615
2020-09-01,0.007468496037178398
2020-10-01,0.006828677960989628
2020-11-01,0.006987824557766168
2020-12-01,0.007179504024690997
2021-01-01,0.006034580294334307
2021-02-01,0.004577378031381872
2021-03-01,0.00666015221946816
2021-04-01,0.008528660511264788
2021-05-01,0.007373439999415119
2021-06-01,0.007785972051585871
2021-07-01,0.009704637695546497
2021-08-01,0.007350369530544403
2021-09-01,0.007496201721263122
2021-10-01,0.007787629847524675
2021-11-01,0.008857516895769942
2021-12-01,0.011387817227324796
2022-01-01,0.008426746683811609
2022-02-01,0.00825098158041922
2022-03-01,0.007213977100999151
2022-04-01,0.004942224550542437
2022-05-01,0.010133347809631633
2022-06-01,0.010657035451722918
2022-07-01,0.016300654779239983
2022-08-01,0.014746416071174547
2022-09-01,0.0077801942114771785
2022-10-01,0.009969909582180636
2022-11-01,0.01066697268863058
2022-12-01,0.010875042155195752
2023-01-01,0.011511724284271004
2023-02-01,0.006879297530608152
2023-03-01,0.011489572525592207
2023-04-01,0.008312092408848221
2023-05-01,0.00886530906305182
2023-06-01,0.010559221170601266
2023-07-01,0.010942449729743507
2023-08-01,0.009565232589997546
2023-09-01,0.009338934814761326
2023-10-01,0.009063252365284198
2023-11-01,0.009334530560743851
2023-12-01,0.009364015850762356
2024-01-01,0.009583214184160112
2024-02-01,0.007492834918215677
